Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,LPD 1,433.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
2,LPD 2,433.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
3,LPD 3,433.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
4,LPD 4,433.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
5,LPD 5,433.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
6,LPD 6,433.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
7,LPD 7,433.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
8,LPD 8,433.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
9,LPD 9,433.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
10,LPD 10,433.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
11,LPD 11,433.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
12,LPD 12,433.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
13,LPD 13,433.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
14,LPD 14,433.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
15,LPD 15,433.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
16,LPD 16 SOS,433.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
17,LPD 17,433.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
18,LPD 18,433.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
19,LPD 19,433.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
20,LPD 20,433.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
21,LPD 21,433.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
22,LPD 22,433.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
23,LIZA ALERT,433.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
24,LPD 24,433.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
25,LPD 25,433.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
26,LPD 26,433.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
27,LPD 27,433.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
28,LPD 28,433.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
29,LPD 29,433.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
30,LPD 30,433.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
31,LPD 31,433.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
32,LPD 32,433.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
33,LPD 33,433.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
34,LPD 34,433.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
35,35 BRELKI,433.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
36,LPD 36,433.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
37,LPD 37,433.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
38,LPD 38,434.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
39,LPD 39,434.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
40,LPD 40,434.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
41,LPD 41,434.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
42,LPD 42,434.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
43,LPD 43,434.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
44,LPD 44,434.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
45,LPD 45,434.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
